,0,neg,neu,pos,compound
51,['Astronomers have discovered a 13billionyearold galaxy cluster that is the earliest ever observed'],0.0,1.0,0.0,0.0
52,['  GalaxyNote10Plus impresses with design but doesnt give enough of a reason to upgrade Read all '],0.0,0.88,0.12,0.2617
53,['From Realme2pro to galaxym20  here are the best budgetfriendly smartphones under 10k that you can purchase this '],0.0,0.802,0.198,0.6369
54,['TheBigBillionDays sale is now live From galaxys9 to Asus6Z to Pixel3a  here are the best deals on smartphones '],0.0,0.811,0.189,0.6369
55,['The  GalaxyWatchActive2 is priced at 279 and it is already on sale in the US '],0.0,1.0,0.0,0.0
56,['You think GalaxyNote10 is heavy on your pocket Rumour has it that  might be working on an affordabl '],0.0,1.0,0.0,0.0
57,['The  GalaxyA10s features a 62inch HD InfinityV display with a resolution of 720 x 1520 pixels Yo '],0.0,1.0,0.0,0.0
58,['After a long delay the redesigned GalaxyFold priced at 1980 will finally make its way to the US on 27 Septembe '],0.103,0.897,0.0,-0.3182
59,[' unveils GalaxyA20s with triple rear camera setup and a 65inch display'],0.0,1.0,0.0,0.0
60,[' is going to start rolling out the Android10 beta program for the GalaxyNote10 and GalaxyS10 devi '],0.0,1.0,0.0,0.0
61,['The newly launched  GalaxyM30s has to compete in an increasingly crowded budget to midrange smartpho '],0.0,0.909,0.091,0.128
62,[' The highlight of the GalaxyA30s is its 6000 mAh battery and a 48 MP triple camera setup '],0.0,0.876,0.124,0.34
63,[' has launched two new Mseries smartphones in India today  galaxym30s and GalaxyM10s '],0.0,0.897,0.103,0.128
64,[' galaxym30s with a 6000 mAh battery and a triple camera setup will launch today Before it goes of '],0.0,1.0,0.0,0.0
65,['The  GalaxyA50s and GalaxyA30s feature a triple rear camera setup and an indisplay fingerprint sensor '],0.0,1.0,0.0,0.0
66,['The  GalaxyM30s is about to be announced in India on 18 September '],0.0,1.0,0.0,0.0
67,['  had started acontest for what looked like the GalaxyA50s through its social media channels sugges '],0.0,0.865,0.135,0.3612
68,['The GalaxyFold will reportedly hit the shelves in the South Korean market on 6 September however  '],0.0,1.0,0.0,0.0
69,[' upcoming GalaxyA90 may come with 5G support and a 48 MP triple camera setup '],0.0,0.838,0.162,0.4019
70,['Leaks suggest that upcoming GalaxyA71 and GalaxyA91 might come with  10  '],0.0,1.0,0.0,0.0
71,['Rumour has it that  might release its GalaxyFold in Korea on 6 September'],0.0,1.0,0.0,0.0
72,[' has quietly launched the GalaxyA10s in India and it will be available for purchase starting tomorro '],0.0,0.919,0.081,0.128
73,[' is reportedly planning to launch a new smartphone under the Galaxy Mseries which will sport a trip '],0.0,1.0,0.0,0.0
74,['The  GalaxyA50s and GalaxyA30s are slight upgrades over the Galaxy A50 and Galaxy A30 launched earlier'],0.0,0.909,0.091,0.128
75,['avengers fan  s got your back Marvelthemed cases are coming to GalaxyNote10  '],0.0,0.827,0.173,0.3182
76,['Its official  GalaxyNote10 will launch in India on 20 August '],0.0,1.0,0.0,0.0
77,['ICYMI the supermassive blackhole at the heart of our Milky Way galaxy Sagittarius A emitted a mysterious flas '],0.0,1.0,0.0,0.0
78,['A strange flash of light was seen by astronomers from the blackhole are at the heart of our Milky Way galaxy '],0.079,0.921,0.0,-0.2023
79,['The  Galaxy A70s will have specs similar to the Galaxy A70'],0.0,1.0,0.0,0.0
80,['GalaxyNote10 and GalaxyNote10Plus prebookings have started in India and will go on till 22 August Here is how '],0.0,1.0,0.0,0.0
81,[' benefitted the most from  troubles this past year With the brand new GalaxyNote10 its '],0.164,0.701,0.135,-0.1477
82,['The new S Pen enables a lot of unique features on  Galaxy Note 10 series'],0.0,1.0,0.0,0.0
83,['The  Unpacked 2019 event showcased a new Galaxy Book S laptop powered by  Snapdragon 8cx process '],0.0,1.0,0.0,0.0
84,['  With reverse charging the Galaxy Watch Active 2 can be charged with the Note 10 Its priced a '],0.088,0.78,0.132,0.2263
85,[' The new S Pen will be compatible with more devices including the newly announced Galaxy Tab S6'],0.0,1.0,0.0,0.0
86,[' The Galaxy Note 10 and Note 10 Plus are official '],0.0,1.0,0.0,0.0
87,['The  Galaxy Unpacked 2019 has begun where the company could be launching the Galaxy Note 10 Stay tuned for updates'],0.0,1.0,0.0,0.0
88,['A few more hours to go for the GalaxyUnpacked event to kick off But before that here is a wrap of all the design '],0.0,1.0,0.0,0.0
89,['Hours ahead of the official GalaxyUnpacked launch variants and pricing of the GalaxyNote10 smartphones have lea '],0.0,1.0,0.0,0.0
90,['With just a day to go for the launch of the  GalaxyNote10Plus  points out the improvemen '],0.0,1.0,0.0,0.0
91,['  brand new GalaxyWatchActive2 brings back bezel control without a rotating physical bezel '],0.0,1.0,0.0,0.0
92,[' may unveil the Exynos 9825 chipset on 7 AugustGalaxyUnpacked '],0.0,1.0,0.0,0.0
93,['Recent leaks suggest that GalaxyNote10 might hit the retail stores on 23 August  '],0.0,1.0,0.0,0.0
94,['It appears  in an effort to compete with GalaxyFold had rushed its signature product the MateX '],0.0,1.0,0.0,0.0
95,['This new colour variant for the  Galaxy Buds will be called Aura Glow and it will come in a silver case'],0.0,1.0,0.0,0.0
96,['A new colour variant of the GalaxyNote10 series has leaked and its a gorgeous gradient of white blue purple and '],0.095,0.741,0.165,0.4019
97,['The  GalaxyA10s is said to be powered by an Exynos chipset with a clock speed of 16GHz '],0.0,1.0,0.0,0.0
98,['Are we finally going to see the  GalaxyFold launch soon '],0.0,1.0,0.0,0.0
99,['  has officially taken the wraps off the Galaxy A80 smartphone in India and has priced the deviceRs 4799 '],0.0,1.0,0.0,0.0
100,['Next are the Acer Helios 300 and 700 The Helios series packs  RTX graphics cards in the MaxQ desi '],0.0,1.0,0.0,0.0
101,[' to unveil its S series in India on 7 August expected to launch VivoS1 '],0.0,1.0,0.0,0.0
