,0,neg,neu,pos,compound
36,['DEAL Amazon Matches Samsungs 200 Off Galaxy S9 S9 and Note 9 Deal BlackFriday2018 '],0.0,0.884,0.116,0.1779
37,['Samsung EVO Select MicroSD Cards are Stupid Cheap Right Now 128GB for 1999 BlackFridayWeek '],0.195,0.805,0.0,-0.5267
38,['Amazon matches Samsungs big BlackFridayWeek 200 off sale on Note 9 S9 and S9'],0.0,1.0,0.0,0.0
39,['Samsung microSD cards are so cheap right now'],0.0,1.0,0.0,0.0
40,['Dont sleep on Samsungs BlackFridayDeals'],0.0,1.0,0.0,0.0
41,['Samsung apologises to sick factory workers '],0.327,0.495,0.178,-0.3612
42,['Black Friday 2018 Best Google and Samsung Phone Deals BlackFriday2018 '],0.0,0.704,0.296,0.6369
43,['Samsung Cyber Monday Deals are Live CyberMondayDeals '],0.0,1.0,0.0,0.0
44,['Verizon Samsung Galaxy Devices LG V40 ThinQ Receive Security Patch Updates'],0.0,0.806,0.194,0.34
45,['Looks like Project Fi will soon support Samsung OnePlus and iPhone devices '],0.0,0.679,0.321,0.6369
46,['Huawei Beats Samsung to Full Display With Camera Cutout Hole '],0.0,1.0,0.0,0.0
47,['Buy a Samsung Galaxy on TMobile Get Free 50 4K Smart TV'],0.0,0.6,0.4,0.7184
48,['Samsung One UI Gets Updated Loads of Bug Fixes Inside'],0.0,1.0,0.0,0.0
49,['TMobile is giving away Samsung 50 4K TVs in new deal'],0.0,0.806,0.194,0.34
50,['Samsungs 12 Days of Deals is Here Save on TVs Phones and Get Free Stuff '],0.0,0.683,0.317,0.7579
51,['DEAL Verizon Galaxy Note 9 300 Off Today Only From Samsung GalaxyNote9 '],0.0,1.0,0.0,0.0
52,['Samsung Nigeria tweets update using Apple iPhone '],0.0,1.0,0.0,0.0
53,['Verizon and Samsung Launching 5G Phone in First Half of 2019 Proof of Concept Coming This Week'],0.0,1.0,0.0,0.0
54,['DEAL Samsung Wireless Charger Duo for Just 50 on Amazon 70 Off'],0.0,0.866,0.134,0.1779
55,['Verizon and Samsung launching 5G phone in first half of 2019 '],0.0,1.0,0.0,0.0
56,['ATampT Will Also Carry Samsungs 5G Phone Next Year'],0.0,1.0,0.0,0.0
57,['ATampT says it will carry Samsungs 5G smartphone in early 2019 '],0.0,1.0,0.0,0.0
58,['ATampT Announces Another Samsung 5G Device With Better Connectivity 5g '],0.0,0.775,0.225,0.4404
59,['Huawei Honor View20 and Samsung A8s have holepunch cameras '],0.0,0.738,0.262,0.4939
60,['Samsung Galaxy A8s With Infinity O Display Official for China'],0.0,1.0,0.0,0.0
61,['Samsung Embarrassingly Partners With Fake Supreme '],0.433,0.299,0.269,-0.296
62,['Did Samsung just partner with a knockoff Supreme label to sell stuff in China Yes '],0.0,0.674,0.326,0.743
63,['DEAL Samsung Drops 300 Off Carrier Galaxy Note 9 250 Off Galaxy S9 galaxynote9 '],0.0,1.0,0.0,0.0
64,['Samsung is now reevaluating its partnership with fake Supreme'],0.279,0.721,0.0,-0.4767
65,['Verizon Updates Samsung Galaxy S7 S7 Edge LG V30'],0.0,1.0,0.0,0.0
66,['DEAL Samsung 10000mAh Fast Charge Battery Pack is 1599 19 Off deals '],0.0,1.0,0.0,0.0
67,['Report Google Assistant Launching on 2019 Samsung Smart TV Lineup'],0.0,0.769,0.231,0.4019
68,['Samsung is Coming for Googles Night Sight Camera Magic'],0.0,1.0,0.0,0.0
69,['Samsungs Pie Update Roadmap Wont Make You Envious of Galaxy Owners'],0.0,0.846,0.154,0.2057
70,['Samsung Provides Different Pie Update Roadmap Galaxy Note 9 and Note 8 Bumped Up a Month'],0.0,1.0,0.0,0.0
71,['Samsung has another Pie roadmap with Galaxy Note 9 and Note 8 bumped up a month '],0.0,1.0,0.0,0.0
72,['I Just Need Samsung to Ditch the Curved Display Now galaxys10 '],0.0,1.0,0.0,0.0
73,['Samsung its time to move on from the curved display'],0.0,1.0,0.0,0.0
74,['Sprints Samsung 5G Phone is Coming This Summer sprint ces2019 '],0.0,1.0,0.0,0.0
75,['RT  Samsung has revealed a 75in 190cm television made of modular panels you can rearrange  CES2019 '],0.0,1.0,0.0,0.0
76,['CES 2019 Samsung adds rival Apples iTunes to smart TVs '],0.0,0.787,0.213,0.4019
77,['Samsung is Announcing the Galaxy S10 on February 20 galaxys10 '],0.0,1.0,0.0,0.0
78,['Fully Functional Foldable From Samsung Coming on February 20 Too'],0.0,1.0,0.0,0.0
79,['10 Years of Samsung Galaxy S Phones Which Stands Out the Most galaxys10 '],0.0,1.0,0.0,0.0
80,['Well also see a fully functional foldable from Samsung on February 20 '],0.0,1.0,0.0,0.0
81,['There has been a ton of different Galaxy phones from Samsung over the years Which one stands out the most to you'],0.0,1.0,0.0,0.0
82,['DEAL Samsung Galaxy Note 9 S9 S9 All 200 Off With Up to 300 Off in Trades deals '],0.0,1.0,0.0,0.0
83,['Samsungs 5G Galaxy S10 Might Add an X to Its Name Go Nuts With Specs galaxys10 '],0.133,0.867,0.0,-0.3182
84,['Heres Everything We Know About Samsungs GalaxyS10 so Far'],0.0,1.0,0.0,0.0
85,['Jesus Finally Target Will Soon Accept Google Pay Samsung Pay'],0.117,0.667,0.217,0.296
86,['This is Bad Samsung']-----------------,0.538,0.462,0.0,-0.5423
87,['No bueno Samsung']--------------------,0.0,1.0,0.0,0.0
88,['Samsung Galaxy S9 Gets Android Pie One UI Update on First US Carrier galaxys9 '],0.0,1.0,0.0,0.0
89,['Hey Samsung Better Job With Pie Updates so Far'],0.0,0.734,0.266,0.4404
90,['Samsungs doing a bit better of a job at updating '],0.0,0.734,0.266,0.4404
91,['Samsung Just Made a 1TB UFS 21 Chip for Smartphones Probably the Galaxy S10 galaxys10  '],0.0,1.0,0.0,0.0
92,['Samsung Galaxy Buds reported to launch with the Galaxy S10 '],0.0,1.0,0.0,0.0
93,['Samsung Teases Foldable Phone in Futuristic Concept Video'],0.239,0.761,0.0,-0.296
94,['Samsung pulled that concept video but we grabbed some extra screenshots from it'],0.0,1.0,0.0,0.0
95,['Samsung brings out the cool concepts shows off foldable phone too'],0.0,0.813,0.187,0.3182
96,['DEAL Samsung Galaxy Note 9 S9 and S9 are 150 Off deals '],0.0,1.0,0.0,0.0
97,['Samsung Galaxy S10 Galaxy S10 Stop by the FCC galaxys10 '],0.18,0.82,0.0,-0.296
98,['Samsung and fake Supreme are no longer working together'],0.356,0.403,0.242,-0.1779
99,['Verizon Valentines Deals Arent Awful 300 Off Pixel 3 BOGO Samsung deals '],0.0,0.816,0.184,0.357
100,['A Fresh Clean HighRes Look at Samsungs Galaxy S10 and Galaxy S10e'],0.0,0.667,0.333,0.6124
101,['What Exactly is Samsung Trying to Tease Here'],0.247,0.753,0.0,-0.3182
102,['Samsung keeps teasing the fold ']-----,0.206,0.794,0.0,-0.0772
103,['Samsungs Galaxy S10 Arrives March 8 Get Up to 550 Off With Trade if You Reserve Now'],0.0,1.0,0.0,0.0
104,['You can already reserve your Galaxy S10 from Samsung '],0.0,1.0,0.0,0.0
105,['Samsung Outs Its Entire New Galaxy Wearable Line Early'],0.0,1.0,0.0,0.0
106,['DEAL 300 Off Unlocked Samsung Galaxy Note 9 Today With Code galaxynote9 '],0.0,1.0,0.0,0.0
107,['Samsung Internet Gets One UI Makeover Complete With Dark Mode Support'],0.0,1.0,0.0,0.0
108,['Samsungs Internet browser gets a big One UI update'],0.0,1.0,0.0,0.0
109,['And Heres a Samsung Galaxy S10 Promo Video Leak '],0.231,0.769,0.0,-0.34
110,['Samsung Galaxy Fold Samsung Galaxy Fold'],0.0,1.0,0.0,0.0
111,['Watch Samsungs Galaxy S10 Galaxy Fold Event Live at 11AM Pacific'],0.0,1.0,0.0,0.0
112,['Here is the Samsung Galaxy Fold galaxyfold '],0.0,1.0,0.0,0.0
113,['Samsung reveals Galaxy Fold and S10 5G '],0.0,1.0,0.0,0.0
114,['Official Specs Samsung Galaxy S10 S10 S10 5G and S10e galaxys10 '],0.0,1.0,0.0,0.0
115,['Samsung Announces New Galaxy Watch Active Galaxy Fit and Galaxy Buds'],0.0,0.634,0.366,0.6369
116,['Samsung Announces Galaxy S10 Family Starting at 900 galaxys10 '],0.0,1.0,0.0,0.0
117,['Samsung Galaxy Fold The internet reacts '],0.0,1.0,0.0,0.0
118,['RT  Important can I answer calls with the phone unfolded and then hang up by snapping it shut   Samsung'],0.0,0.904,0.096,0.2023
119,['Samsung on whether you can end calls on the GalaxyFold by snapping it shut like the old flip phones '],0.0,0.884,0.116,0.3612
120,['RT  Our folding phone is bigger and better than Samsungs says Huawei '],0.0,0.805,0.195,0.4404
121,['Samsung Releases the Galaxy Fold HandsOn Video You Wanted galaxyfold '],0.0,1.0,0.0,0.0
122,['Everyone see Samsungs new Galaxy Fold video It shows a lot of the device in action'],0.0,1.0,0.0,0.0
123,['Buying the Galaxy Fold will be unlike most Samsung products '],0.0,1.0,0.0,0.0
124,['Samsung Now Lets You Remap Bixby Button Just Not to Google Assistant'],0.0,1.0,0.0,0.0
125,[' samsung tho lol']--------------------,0.0,1.0,0.0,0.0
126,['Samsung is Folding Sht in All the Directions'],0.0,1.0,0.0,0.0
127,['Report Your Samsung Galaxy Depreciates at Alarming Rate 42 in Month One'],0.12,0.88,0.0,-0.128
128,['Samsungs Good Lock App Updated to Work With Android Pie'],0.0,0.756,0.244,0.4404
129,['Samsungs Good Lock app gets updated to work with Android Pie '],0.0,0.791,0.209,0.4404
130,['Time probably running out to take advantage of Samsungs really good tradein offer '],0.0,0.698,0.302,0.6361
131,['DEAL Samsungs Excellent Galaxy Buds 25 Off at ATampT'],0.0,0.684,0.316,0.5719
132,['Samsung Galaxy S10 Review Mostly Excellence Slight Disappointment'],0.0,0.631,0.369,0.6249
133,['Samsung Galaxy S10e Review Yo This is the Phone galaxys10e '],0.0,1.0,0.0,0.0
134,['You Still Have Time to Take Advantage of Samsungs 550 Tradein Offer for the Galaxy S10'],0.0,0.882,0.118,0.25
135,['Samsung still offering up to 550 in tradein credit towards the purchase of a Galaxy S10 '],0.0,0.852,0.148,0.3818
136,['Heres the 2000 ATampT Samsung Galaxy Fold Being Fondled galaxyfold '],0.0,1.0,0.0,0.0
137,['Poll Do Your Own a Google Samsung or OnePlus Phone'],0.0,1.0,0.0,0.0
138,['DEAL Samsung Wireless Charging Pad is 15 10000mAh Fast Battery Pack is 16 galaxys10 '],0.0,1.0,0.0,0.0
139,['Samsungs 550 Off TradeIn Galaxy S10 Deal is Still Live Plus BOGO ATampT and Verizon galaxys10 '],0.0,1.0,0.0,0.0
140,['Samsung shows the Galaxy Fold can fold a lot of times '],0.0,1.0,0.0,0.0
141,['DEAL Samsung Will Give You 200 TradeIn Value Towards Galaxy S10 for Any Android Device Even If Its Cracked'],0.0,0.882,0.118,0.34
142,['DEAL Need More Storage Get a Samsung 128GB MicroSD for 20'],0.0,1.0,0.0,0.0
143,['Samsung Galaxy A80 Trades Notches and Cutouts for PopUp Flippy Camera'],0.0,1.0,0.0,0.0
144,['Samsung Says You Should SignUp Today to be First in Line to Purchase Galaxy Fold galaxyfold '],0.0,1.0,0.0,0.0
145,['Invitations to purchase Samsungs 1980 Galaxy Fold apparently roll out tomorrow '],0.0,1.0,0.0,0.0
146,['Hows Your Experience Been With Samsungs TradeIn Program galaxys10 '],0.0,1.0,0.0,0.0
147,['How has your experience been with Samsungs tradein program '],0.0,1.0,0.0,0.0
148,['Samsungs Galaxy Fold has Support for All Major US Carriers Bands galaxyfold '],0.0,0.816,0.184,0.4019
149,['Samsungs Galaxy Fold has support for all major US carrier bands '],0.0,0.803,0.197,0.4019
150,['RT  Heres my first handson with the Samsung Galaxy Fold GalaxyFold '],0.0,1.0,0.0,0.0
151,['Samsung Quickly Sold Out of the 2000 Galaxy Fold galaxyfold '],0.0,1.0,0.0,0.0
152,['Samsungs folding phone breaks for reviewers '],0.0,1.0,0.0,0.0
153,['Samsung Spins Bright Night Camera Feature Into Standalone Mode'],0.0,0.734,0.266,0.4404
154,['DEAL Samsung Offering Instant 300 Off Galaxy S10 With Trade galaxys10 '],0.0,1.0,0.0,0.0
155,['Samsung Galaxy Fold launch events delayed in China '],0.192,0.808,0.0,-0.2263
156,['Samsung Might Have Delayed the Galaxy Fold galaxyfold '],0.192,0.808,0.0,-0.2263
157,['Samsung confirms Galaxy Fold delay as it investigates and runs internal tests '],0.161,0.839,0.0,-0.3182
158,['Samsung Galaxy View 2 Looks Way Better Than the Original'],0.0,0.734,0.266,0.4404
159,['Samsung officially delays launch of the Galaxy Fold '],0.0,1.0,0.0,0.0
160,['Samsungs Galaxy View 2 looks pretty good when compared to the original '],0.0,0.517,0.483,0.8126
161,['Samsung unveils TV that can switch to vertical mode '],0.0,1.0,0.0,0.0
162,['DEAL Samsung Will Still Give You 200 Off the Galaxy S10 for Trading in Any Smartphone galaxys10 '],0.0,1.0,0.0,0.0
163,['Simple Bank Finally Finally Adds Support for Samsung Pay'],0.0,0.748,0.252,0.4019
164,['Samsung Pay support comes to Simple Bank '],0.139,0.594,0.267,0.3182
165,['DEAL Samsung Gear S3 Frontier Drops to 109 With 90 Discount'],0.0,1.0,0.0,0.0
166,['Samsung is Still Trying to Fix the Galaxy Fold Asks if People Want to Keep PreOrders galaxyfold '],0.0,0.929,0.071,0.0772
167,['Samsungs Galaxy Fold is Ready to Return galaxyfold '],0.0,0.762,0.238,0.3612
168,['DEAL Samsung Ups Tradein Offer to 400 Off Galaxy S10 galaxys10 '],0.0,1.0,0.0,0.0
169,['Samsung Galaxy Fold supposedly ready to make a comeback '],0.0,0.762,0.238,0.3612
170,['Samsung ups its tradein offer to 400 off a Galaxy S10 '],0.0,1.0,0.0,0.0
171,['Upcoming Phone Designs From OPPO Samsung and Huawei Might Get Weird'],0.0,1.0,0.0,0.0
172,['Samsung Announces One UI for Wearable Lineup Highlights Better Battery and Cleaner UI'],0.0,0.705,0.295,0.5574
173,['One UI update rolling out to Samsungs wearable lineup starting this week '],0.0,1.0,0.0,0.0
174,['We Hope Samsungs New 5x Optical Zoom Lens Ships With the Galaxy Note 10'],0.0,0.818,0.182,0.4404
175,['With Still No Word From Samsung Best Buy Cancels All Galaxy Fold PreOrders'],0.224,0.546,0.23,0.2732
176,['DEAL Samsungs Fast Wireless Charger is 50 Off Down to 1499'],0.0,1.0,0.0,0.0
177,['Samsung Loves Its Hole Punches Shares Free DisneyPixar Wallpapers for Galaxy S10 galaxys10 '],0.0,0.545,0.455,0.8481
178,['Samsung has Plans for 100W USBC Chargers'],0.0,1.0,0.0,0.0
179,['Samsung has plans for 100W USBC chargers '],0.0,1.0,0.0,0.0
180,['Today is Galaxy Day MonthLong Celebration With Deals and Promos From Samsung'],0.0,1.0,0.0,0.0
181,['Samsung Galaxy Home Launch Still Happening Scheduled for Q3'],0.0,1.0,0.0,0.0
182,['Samsung celebrates 10th anniversary of Galaxy with deals and promos '],0.0,0.73,0.27,0.5719
183,['Samsung Galaxy Fit Activity Tracker Now Available for 99'],0.0,0.762,0.238,0.3612
184,['DEAL Samsung Galaxy Buds are 9999 at Verizon 30 Off'],0.0,1.0,0.0,0.0
185,['Samsung TVs should be regularly viruschecked the company says '],0.0,1.0,0.0,0.0
186,['Samsung Most Galaxy Fold Display Issues Ironed Out Ready for Launch'],0.0,0.8,0.2,0.3612
187,['Samsung irons out most Galaxy Fold issues is ready to release it to market '],0.0,0.848,0.152,0.3612
188,['Verizon TMobile Samsung and LG Devices Getting Security Patches'],0.0,0.769,0.231,0.34
189,['This is what the Samsung Galaxy Watch Active 2 could look like  '],0.0,0.658,0.342,0.6369
190,['The Galaxy Fold release date is still unconfirmed as Samsung CEO asks give us a little more time '],0.081,0.919,0.0,-0.128
191,['DEAL Samsung Goes Wild With Trades Toward Galaxy S10 350Off for a Galaxy S8 galaxys10 '],0.0,1.0,0.0,0.0
192,['Samsung CEO admits the Galaxy Fold was released before it was ready  '],0.0,0.701,0.299,0.5719
193,['This Might Shock You but the Samsung Galaxy Fold was Rushed galaxyfold '],0.13,0.87,0.0,-0.2023
194,['Samsung is offering really solid tradein values for older phones like 350 for the Galaxy S8'],0.0,0.639,0.361,0.7474
195,['Samsungs Galaxy Fold was pushed out too early guys galaxyfold '],0.0,1.0,0.0,0.0
196,['Samsung launches a Bixby marketplace for Alexastyle voice commands  '],0.0,1.0,0.0,0.0
197,['Samsung finally bringing Night photo mode to US Galaxy S10 phones  '],0.0,1.0,0.0,0.0
198,['Samsung Galaxy Fold has apparently been fixed  '],0.0,1.0,0.0,0.0
199,['Will Nvidia join the 7nm party next year 7nm Nvidia GPUs could come in 2020 through partnership with Samsung '],0.0,0.786,0.214,0.5994
200,['Samsung sued over waterresistant phone claims '],0.0,1.0,0.0,0.0
201,['Samsung is getting sued by the Australian consumer watchdog for its misleading Galaxy phones ads '],0.153,0.847,0.0,-0.4019
202,['Samsung may be about to launch an ultracheap tablet to rival Amazons Fire range  '],0.212,0.788,0.0,-0.3612
203,['Samsung Galaxy Watch Active 2 may have two major Apple Watch 4 features  '],0.0,0.803,0.197,0.4019
204,['Leaked Samsung Galaxy Watch Active 2 images show barely any changes  '],0.0,0.787,0.213,0.4019
205,['Samsung Galaxy S10 vs S10 Plus vs S10e which Samsung flagship will suit your needs  '],0.0,0.915,0.085,0.1027
206,['Samsung may be about to launch an ultracheap tablet to rival Amazons Fire range  '],0.212,0.788,0.0,-0.3612
207,['Samsung may release Galaxy Watch 2 before the Watch Active 2 after all  '],0.0,0.803,0.197,0.4019
208,['Pujie Black Available for Samsung Galaxy Wearables'],0.0,1.0,0.0,0.0
209,['Rumors suggest the Samsung Galaxy Watch 2 is coming later this year  heres what we know so far '],0.0,1.0,0.0,0.0
210,['Samsung Galaxy Watch Active 2 leaked in official render  '],0.192,0.583,0.225,0.1027
211,['Samsung could still be planning to launch a pair of augmented reality specs  '],0.0,1.0,0.0,0.0
212,['These Vizio Yamaha and Samsung soundbar deals kick off Prime Day 2  '],0.0,1.0,0.0,0.0
213,['Samsung Galaxy Note 10 may miss out on this new gamingfocused chipset  '],0.118,0.882,0.0,-0.1531
214,['Samsung Galaxy S11 camera looks increasingly likely to get allnew 64MP sensor  '],0.0,1.0,0.0,0.0
215,['Samsung Galaxy Tab S6 leak offers more proof of rearmounted magnetic S Pen  '],0.167,0.833,0.0,-0.34
216,['Samsung Readying 12Gb LPDDR5 Mobile DRAM for Galaxy Note 10'],0.0,1.0,0.0,0.0
217,[' the 12GB packages combining eight of the 12Gb chips arent yet in mass production Samsung says later t '],0.0,1.0,0.0,0.0
218,['Our review of the Samsung Galaxy A80  Samsungs new midrange smartphone with a novel popup camera panel '],0.0,0.874,0.126,0.3182
219,['Samsung Galaxy Space could be the companys next 2in1 laptop  '],0.0,1.0,0.0,0.0
220,['New Samsung Note 10 rumor suggests Zoom Audio and stylus gesture control  '],0.0,1.0,0.0,0.0
221,['Samsung Galaxy Note 10 Pro sounds allpowerful in this new specs leak  '],0.167,0.833,0.0,-0.34
222,[' nothing is confirmed samsung hasnt yet announced if the phone will indeed feature a battery '],0.0,1.0,0.0,0.0
223,['Samsungs Galaxy Watch Active Gets a Big Ol Update'],0.0,0.722,0.278,0.4019
224,['Samsung Galaxy Note 10 Plus may have five rear cameras Note 10 just three  '],0.0,1.0,0.0,0.0
225,['Samsung Galaxy Watch Active 2 leak hints its coming earlier than expected  '],0.159,0.662,0.179,0.0772
226,['Samsung Q60R QLED TV review Samsungs flagship screens without the flagship performance  '],0.0,0.797,0.203,0.2023
227,['Official Samsungs Galaxy Fold is ReLaunching in September galaxyfold '],0.0,1.0,0.0,0.0
228,['Samsung Galaxy Fold release date the fixed version will launch in September  '],0.0,1.0,0.0,0.0
229,['Samsung GalaxyA80 with a rotating camera is now open for prebooking on  and the company website '],0.0,1.0,0.0,0.0
230,['Samsung Galaxy Note 10 could have a smarter camera than Galaxy S10  '],0.0,0.786,0.214,0.4588
231,['RT  Samsung says the Galaxy Fold will go on sale in September after faulty screens delayed the launch '],0.198,0.802,0.0,-0.4939
232,['Samsung Galaxy Watch Active update will make it easier to use  '],0.0,0.645,0.355,0.6705
233,['The Samsung Galaxy Fold is bound for September  at least in some places  '],0.0,1.0,0.0,0.0
234,['Samsung offers upto 600 off Note 10 with specific trades '],0.0,1.0,0.0,0.0
235,['Samsung Galaxy Note 10 Plus confirmed by Samsung itself  '],0.0,1.0,0.0,0.0
236,['OnePlus 7 Pro 5G beats Samsung Oppo and LG in speed tests  '],0.0,1.0,0.0,0.0
237,['Samsung Galaxy Tab S6 might feature an AMOLED display and latest Qualcomm Snapdragon 855 chipset Read more details '],0.0,1.0,0.0,0.0
238,['Samsung to Announce Galaxy Tab S6 Watch Active 2 Prior to Note 10 Event'],0.0,0.816,0.184,0.4019
239,['Samsungs giving us a couple of early gifts ahead of the Note 10 launch on Aug 7 Today well see a new Galaxy Tab '],0.0,0.816,0.184,0.5423
240,['Samsung Galaxy Tab S6 live stream how to watch the big tablet launch live  '],0.0,1.0,0.0,0.0
241,['These could be the names of the 2020 Samsung Galaxy Aseries phones  '],0.0,1.0,0.0,0.0
242,['Samsungs Galaxy Tab S6 is a 649 Tablet in a World Without Many Android Tablets'],0.0,1.0,0.0,0.0
243,['8K could soon be the new normal for Samsung TVs  '],0.0,1.0,0.0,0.0
244,['Samsung has a new 650 tablet for those interested in Android tablets'],0.0,0.787,0.213,0.4019
245,['Samsung GalaxyA80 is now on sale It comes with a flip camera 3700 mAh battery more Before you make the purcha '],0.0,1.0,0.0,0.0
246,['From Samsung GalaxyM40 to RedmiY3 here are all the smartphones will be available on discount during the upcoming '],0.0,1.0,0.0,0.0
247,['Latest Samsung Galaxy Watch Active 2 leaks give us the best look at it yet  '],0.0,0.653,0.347,0.7845
248,['Samsung Galaxy Note 10 Plus 5G version could go on sale on August 23  '],0.0,1.0,0.0,0.0
249,['The 5G variant of the upcoming Samsung GalaxyNote10Plus gets an unofficial release date '],0.0,1.0,0.0,0.0
250,['Samsung Galaxy Tab S6 vs Samsung Galaxy Tab S4 is the new pro tablet worth the full price  '],0.0,0.905,0.095,0.2263
251,['Planning on buying a new Samsung device With 256GB of memory for the price of 64 this Samsung Galaxy S9 Plus deal '],0.0,1.0,0.0,0.0
252,['New Samsung Galaxy Note 10 leak all but confirms lack of headphone jack '],0.279,0.721,0.0,-0.5647
253,['Samsung Galaxy Note 10 price might not be any higher than Note 9  '],0.0,1.0,0.0,0.0
254,['Samsung Galaxy Note 10 colors leak shows less exciting options than Note 9  '],0.147,0.675,0.178,0.1298
255,['Samsung is Watering Down the Note Line for No Good Reason'],0.156,0.638,0.206,0.1779
256,['Samsung Galaxy Note 10 Plus 5G version could go on sale on August 23  '],0.0,1.0,0.0,0.0
257,['Samsung is watering down the Note line with the Galaxy Note 10'],0.0,1.0,0.0,0.0
258,['These could be the names of the 2020 Samsung Galaxy Aseries phones  '],0.0,1.0,0.0,0.0
259,['Images of Samsungs upcoming Galaxy Book S laptop leak out  '],0.211,0.789,0.0,-0.34
260,['Samsung Galaxy Tab S6 is official and could be a true iPad Pro rival  '],0.0,0.823,0.177,0.4215
261,['Samsung Galaxy Note 10 price might not be any higher than Note 9  '],0.0,1.0,0.0,0.0
262,['JUST ANNOUNCED Samsung Galaxy Watch Active 2 has a rotating bezel that doesnt rotate  '],0.0,0.816,0.184,0.4019
263,['Samsung Galaxy Watch Active 2 Official Priced Starting at 279 With PreOrders in September'],0.0,0.816,0.184,0.4019
264,['Samsung Galaxy Tab S6 vs iPad Pro 2018 clash of the professional tablets  '],0.0,1.0,0.0,0.0
265,['Samsung Galaxy Note 10 range leaked three times over including by Samsung itself  '],0.15,0.85,0.0,-0.3182
266,['Samsungs Galaxy Watch Active 2 is now official launches next month '],0.0,0.787,0.213,0.4019
267,['Samsungs nextgeneration SSDs promise blazingfast speeds  '],0.0,0.723,0.277,0.3182
268,['Samsung Galaxy Note 10 official photo and specs leaked  '],0.204,0.796,0.0,-0.3182
269,['Samsung Galaxy Watch Active 2 vs Apple Watch 4 which smartwatch is for you  '],0.0,0.816,0.184,0.4019
270,['Samsung GalaxyUnpacked event will be held on 8 August at 100 am IST here is how you can watch it live '],0.0,1.0,0.0,0.0
271,['A monstersized 68inch Galaxy Note 10 could be revealed during todays SamsungEvent Are your hands  big enough for it  '],0.0,1.0,0.0,0.0
