,0,neg,neu,pos
58,['Apparently Trump has given up on the economy and his Presidency Seems like realDonaldTrump is intent on taking the entire country down with him tariffs tradewar incompetence impeachment trump maga20190530 23524900000'],0.095,0.833,0.072
59,['A full on trade war is the last thing thing they need20190530 23523400000'],0.245,0.755,0.0
60,['Tradewar   ComfortablySmug20190530 23522500000'],0.0,1.0,0.0
61,['Awesomeness No reason to leave them out of the trade war disasters20190530 23522500000'],0.422,0.578,0.0
62,['Last years rotten Halloween pumpkin is now waging a trade war against 1 China 2 The EU 3 Mexico The only thing he has left is a good economy is he trying to crash it  20190530 23521900001'],0.243,0.686,0.071
63,['A stupid trade war with China Official visits to Taiwan and the Dalai Lama Conflict with everyone and their brother A catbird seat once sat upon by Vlad is increasingly a hot seat President Baby Blimp Trump is weighing war with  near everyone  20190530 23520700000'],0.257,0.743,0.0
64,['Costco says prices will go up in the wake of US trade war with China as tariffs rise   via usatoday20190530 23520300002'],0.163,0.837,0.0
65,['How much will this cost an American household the Federal Reserve Bank calculated the cost of the USChina trade war for a typical household The tab is 831 for 2019 Thanks for punishing our country with your crappy tariffs20190530 23520300000'],0.227,0.714,0.059
66,['An overlooked consequence of the trade war could be even less transparency and truthtelling between nations writes tylercowen 23520000000'],0.227,0.773,0.0
67,['Trump Costco says prices will go up in the wake of US trade war with China as tariffs rise   via USATODAY20190530 23513200000'],0.157,0.843,0.0
68,['Is this some of Trumps so called winning China accuses US of economic terrorism as trade war tensions escalate  20190530 23510500000'],0.409,0.481,0.111
69,['Trade war spreads  20190530 23505400000'],0.494,0.506,0.0
70,['That isnt a trade war Mexico needs us wayyyyy more than we need them Its an ultimatum20190530 23504200000'],0.0,0.836,0.164
71,['JUST IN Dow futures tumble 160 points after Pres Trump says US will hit all imports from Mexico with 5 tariff starting June 10 due to flow of migrants CNBC rpts comes amid trade war with China threatened levies on Europe talks with Japan  pictwittercomuheKpWw4SU20190530 23504100006'],0.138,0.862,0.0
72,['China reportedly lining up countries against US in pending trade war  20190530 23503600000'],0.245,0.755,0.0
73,['Theyre potentially about to be a target of the TrAdE wAr20190530 23502600000'],0.0,1.0,0.0
74,['No Lets just sit back and watch Trump tank the economy Trade war with a source of produce to cover for our flooded areas Food prices are going up any way Now a source of food imports will jack their prices up as well High priced food means much more winning20190530 23501100000'],0.072,0.889,0.039
75,['Costco says prices will go up in the wake of US trade war with China as tariffs rise  20190530 23500200001'],0.17,0.83,0.0
76,['Trade War Starts Changing Manufacturers in HardtoReverse Ways  20190530 23495200000'],0.302,0.698,0.0
77,['TRADE WAR DEBATE Trish Regan FOX vs Liu Xin CGTN  via YouTube I really appreciate the publication of this blogger very neutral and clear20190530 23494900000'],0.156,0.743,0.101
78,['Worth reading Ron Insana Theres much more this market should be worried about than just the trade war  20190530 23493000000'],0.253,0.747,0.0
79,['that would be a resounding NO JohnCornyn will just look down at his cowboy boots while his constituents bear even more loss due to this absurd trade war20190530 23492200000'],0.175,0.825,0.0
80,['Heres why Chinas trade war threat to restrict rare earth minerals is so serious  23491400000'],0.514,0.486,0.0
81,['What one trade war isnt good enough for you You do realize youre screwing the ONLY people left supporting you20190530 23490200000'],0.292,0.605,0.103
82,['You cannot win a trade war with China20190530 23485600000'],0.251,0.491,0.257
83,['Will China use its US12 trillion of US debt as firepower to fight the trade war   via scmpnews20190530 23485000000'],0.36,0.64,0.0
84,['WB management also lied to me on the phone in the middle of last year its IR Department told me its business was insulated from the trade war Some insulation Revenue growth has declined from almost 70 to mid teens Stay away from dishonest management20190530 23481800000'],0.186,0.766,0.047
85,['After being told that we have to up end our entire operation our operating budget is a smoking crater and brace yourself 16 hour days are coming and Ive been voluntold this is my life until the easy to win trade war Im thinking her emails perhaps werent a big deal20190530 23481600000'],0.068,0.816,0.116
86,['Trump threatens new trade war with Mexico and escalating tariffs 20190530 23474700000'],0.394,0.606,0.0
87,['A ship could become a factor in both the China trade war and Iran tensions CNBC 20190530 23474700000'],0.306,0.694,0.0
88,['The trade war with China is going so well he thinks the American consumers should double down with Mexico20190530 23472900002'],0.158,0.73,0.111
89,['Trade war is intensifying expect big correction in US market Crude is down because Iran is quite for next 56 days After 6th June situation could be different Therefore June could be the month of big volatility20190530 23471700000'],0.174,0.826,0.0
90,['Dont say we didnt warn you A phrase from China signals the trade war could get even worse  20190530 23471600000'],0.288,0.659,0.053
91,['So wannabe Dictator realDonaldTrump is going to keep punishing the American people What does he care He got his tax for the rich Mexico was supposed to pay for the wall nope Americans are Business owners are paying more because of his stupid trade war with China20190530 23471100000'],0.201,0.687,0.111
92,['So youre punishing American citizens with higher prices because you cant get a deal accomplished What is your fcking problem tariffs mexico tradewar ImpeachDonaldTrumpNOW incompetence economy20190530 23470300000'],0.353,0.647,0.0
93,['Trade War Starts Changing Manufacturers in HardtoReverse Ways via NYTimes 20190530 23465600000'],0.262,0.738,0.0
94,['Dont say we didnt warn you A phrase from China signals the trade war could get even worse  23465500000'],0.3,0.644,0.056
95,['Drumpfs trade war wChina Walmart products are primarily made in China With tariffs Walmart pays more for inventory cost increase passed to consumers thru higher prices A no win situation altho Drumpf claims zero sum  he wins20190530 23465000000'],0.135,0.73,0.135
96,['Chinese officials are accusing the Trump administration of  economic terrorism using the Tarrifs  tradewar20190530 23464700002'],0.326,0.674,0.0
97,['Trump to put 5 tariff on US imports from Mexico which are 14 of total US importsThis may be immigration related but it will just ramp up trade war fears and their impact on US growth Share markets will likely remain under short term pressure until trade war resolved pictwittercomgp7Gis2NkH20190530 23464000009'],0.251,0.628,0.121
98,['Fuckwit Prime aka Donald Trump just started a trade war with Mexico declaring a 5 tariff on ALL goods coming into the US until they stop the illegals A LOT of our produce comes from Mexico Tariffs get paid by Americans This is stupid pictwittercompW3ioqRPar20190530 23462900001'],0.196,0.804,0.0
99,['China makes next move in trade war reportedly halting US soy purchases  23462700000'],0.245,0.755,0.0
100,['Crude melting in trade War  WTIC OIL CLF20190530 23461900000'],0.328,0.672,0.0
101,['This trade war is going to go exactly like his wall hasnt his tax scam bust his drug plan will as his foundation and university went as his performance in Helsinki went Pic of the loser pictwittercomOA9qlXUGct20190530 23461700000'],0.156,0.727,0.117
102,['China taunts US over trade war Dont say we didnt warn you  pictwittercom0GfcZCm1ul20190530 23461000000'],0.227,0.698,0.075
103,['Crude melting in trade War  23460500000'],0.438,0.562,0.0
104,['Fixation on China as an existential threat to the cherished American Dream is having serious consequences ChinaUS tradewar tariff  pictwittercomMyzYuQ5q9n20190530 23460100000'],0.174,0.63,0.196
105,['Chinas next move in the trade war could cripple US F35 stealth fighter production   via businessinsider20190530 23455800000'],0.25,0.673,0.077
106,['Also going on Martha MacCallum is interviewing an Obama era economist about trade war Why Cat has a 15 GDP history and calls China an Ally lol Wonder why you cant trust Dems with cyber security Talks a good game Jackass Dems losing calling it a Trump mistake20190530 23455700000'],0.203,0.66,0.137
107,['US is buyers market In a trade war sellers get hurt20190530 23455000000'],0.281,0.719,0.0
108,['thanks to the trade war with China Mexico now is the first ally20190530 23452100000'],0.231,0.769,0.0
109,['Only five Dow stocks have gained in May as trade war drags on  CNBC Thank Trump Seems trade war is st a standoff No art for the deal maker  20190530 23451300000'],0.287,0.588,0.125
110,[' Trump intensifies his global trade war yen crosses on the slide20190530 23450400000'],0.245,0.755,0.0
111,['The trade war makes a convenient excuse for a lot of stuff that was happening anyway  23450400002'],0.214,0.714,0.071
112,['Trumps trade war is forcing American manufacturers to move production out of China  and into Mexico instead of the US  23450000000'],0.163,0.837,0.0
113,['Only five Dow stocks have gained in May as trade war drags on  23445500000'],0.292,0.573,0.135
114,['Daily Digest Asian Open  Wall Street Trades Higher Oil Down   axitrader SPX DJIA NASDAQ AUDUSD OIL GOLD ausbiz ironore EURUSD USDJPY forex Brexit tradewar Mexico Bitcoin Losses may exceed deposits20190530 23445200000'],0.083,0.917,0.0
115,['And what about your best deal ever with Canada and Mexico Seems you prefer the next trade war ImpeachDonaldTrumpNOW20190530 23444600000'],0.149,0.69,0.161
116,['So your logic is to start a trade war So again you increase prices to the consumer Mexico can respond plus no way that will stand up in any court20190530 23444300000'],0.171,0.757,0.072
117,['China threat to use rare earths as leverage in trade war with US  20190530 23443700000'],0.36,0.64,0.0
118,['And there goes that trade deal you bragged about How big of a bailout will you be giving farmers for this trade war20190530 23442700000'],0.056,0.847,0.097
119,['Forget about tariffs being a tax on consumers The economic impact of this is minor The real damage done by a potential ChinaUS tradewar to the US economy is to the supplychains of US businesses20190530 23442200000'],0.088,0.912,0.0
120,['NEWS Trump intensifies his global trade war yen crosses on the slide May 31 2019 at 1238AM  pictwittercomnI84WUKyvq20190530 23441300000'],0.178,0.822,0.0
121,['USChina trade war of words heads for Fox cable TV faceoff  pictwittercomzprnLYCkBS20190530 23440000000'],0.245,0.755,0.0
122,['The American taxpayer will foot the bill for Trumps Trade War realDonaldTrump 20190530 23432700005'],0.231,0.769,0.0
123,['Trump says US will impose 5 tariff on all Mexicanimports from June 10 USMCA tradewar tariffwar spy spx dia dji djia qqq ixic iwn iwm iwo maga 20190530 23432500000'],0.075,0.925,0.0
124,['The Risk of Trumps Trade War Is More Than Just Higher Prices  Alasdair Macleod  20190530 23431200000'],0.3,0.7,0.0
125,['For clarification on my stances Im only for the trade war with China theres no good reason to hit our allies and neighbors with tariffs20190530 23430800000'],0.191,0.719,0.091
126,['BARC JPM EmergingMarket Scorecard Favors Growth Stars as Trade War Bites via  23430000000'],0.211,0.541,0.249
127,['More taxes on the American people You are losing the trade war in China and you are losing here DonTheCon BankruptingAmerica DeficitExplosion20190530 23423500000'],0.313,0.687,0.0
128,['Trump intensifies his global trade war yen crosses on the slide  pictwittercom6zKQyf4Ao920190530 23422700000'],0.245,0.755,0.0
129,['Of all the stupid ideas youve proposed an youve said some pretty stupid stuff This is right there with the trade war with China in abject silliness  20190530 23420900001'],0.317,0.603,0.08
130,['New round of tariffs here you go south of the border tradewar20190530 23415700000'],0.0,1.0,0.0
131,['We need to win this trade war with China China trump2020 20190530 23415700000'],0.209,0.588,0.203
132,['China dangles a potentially harmful new threat in trade war from AP 20190530 23413300000'],0.399,0.601,0.0
133,['Show me the open border policy show me the third trimester policy taxes sure show me the anti senitism 3 of the 4 policies youve just made up Republicans are outlawing abortion in multiple states massively increasing the deficit and losing an irrelevant trade war20190530 23411400000'],0.152,0.802,0.046
134,['So ChuckGrassley likes socialist policies If he were a capitalist he would pull himself and his farm up by his bootstraps and work his way through his favorite presidents trade war20190530 23405300000'],0.0,0.833,0.167
135,['China moves to restrict US access to rare earth minerals as trade war intensifies  20190530 23404500000'],0.317,0.683,0.0
136,['Crude melting in trade War  CL1 chart 20190530 23404100000'],0.328,0.672,0.0
137,['Trumps trade war is forcing American manufacturers to move production out of China  and into Mexico instead of the US  20190530 23403300000'],0.157,0.843,0.0
138,['Trump wrecks his own deal starts yet another trade war  20190530 23401000000'],0.262,0.738,0.0
139,['You have learned nothing from your disastrous trade war with china Canada and the EU The trade deficit inches toward 1 trillion and you dont care You dont care that farmers are dying or losing everything theyve worked their lives for You are nothing a complete failure20190530 23400500000'],0.251,0.694,0.055
140,['Trump intensifies his global trade war yen crosses on the slide  23400300000'],0.262,0.738,0.0
141,['Trumps tradewar is forcing American manufacturers to move production out of China  and into Mexico instead of the US  20190530 23395200000'],0.0,1.0,0.0
142,['Another trade war easy to win  20190530 23393600000'],0.25,0.321,0.429
143,['Another trade war easy to win20190530 23385800000'],0.331,0.424,0.246
144,['It is not Mexicos responsibility to stop migrants coming to our country Its our border its our responsibility So you wanna tax Americans by starting a trade war with one of our closest friends on the planet What is wrong with you20190530 23385800000'],0.183,0.755,0.062
145,['Why cant we capitalize on Trumps trade war debacle climate change denial double deficits attempt to over throw aca AND hold impeachment hearings at the same time We can multitask Media help us out balance your coverage its not all impeachment RESIST impeachtrump20190530 23384900000'],0.08,0.864,0.056
146,['USEU Talks Struggle Threatening a New Front in Trade War   via YahooFinance20190530 23384800000'],0.516,0.484,0.0
147,['Cant you read Theres not going to be a wall Just a trade war20190530 23384700000'],0.0,1.0,0.0
148,['They are fighting omg against the Trump tariffs You would too as the leader of any country whose exports suddenly got 1025 more expensive in your largest export market Thats what a trade war is20190530 23382200000'],0.162,0.838,0.0
149,['Trump intensifies his global trade war yen crosses on the slide  20190530 23380800002'],0.245,0.755,0.0
150,['Yeah hurting American farmers further by igniting a trade war with Mexico is a really great way for him to increase his abysmal poll numbers bless your heart20190530 23380800000'],0.173,0.578,0.249
151,['Trade war is changing manufacturers in hardtoreverse ways  20190530 23375700000'],0.302,0.698,0.0
152,['erichweiner you guys have a portfolio company connected to this industry what do you think Is Mastercraft a good value at 8X forward earnings Any worries about demand here Trade war hurting margins Any unforeseen secular shifts20190530 23372700000'],0.236,0.649,0.115
153,['Trade War Starts Changing Manufacturers in HardtoReverse Ways   Important to note that in response to the high tariffs imposed on China many US tech companies have had to reroute business through Mexico This will kill US industry 20190530 23372500000'],0.212,0.749,0.039
154,['Heres why Chinas trade war threat to restrict rare earth minerals  such as cerium europium and lutetium  is so serious  23371700000'],0.406,0.594,0.0
155,['Cool Because a trade war with our biggest trading partner wasnt enough youre starting one with our third biggest20190530 2336590000454'],0.178,0.822,0.0
156,['China accuses US of economic terrorism as trade war tensions escalate  20190530 23365500001'],0.602,0.398,0.0
157,['Dude could cut illegal immigration off now with his delegated from the legislature and inherent executive powers but is going to try to start a trade war and sink the New NAFTA instead  20190530 23364100000'],0.229,0.771,0.0
158,['The trade war and at least the possibility that it could derail the Mellanox acquisition appears to be weighing especially hard on this chip name Its a bummer but hopefully this too shall pass20190530 23362200000'],0.181,0.73,0.089
159,['Fox host Chinese state TV anchor face off over trade war  20190530 23360900000'],0.245,0.755,0.0
160,['MOAR TRADE WAR ESF PLUNGESpictwittercomMVO3ouXH5D20190530 23360200001'],0.481,0.519,0.0
161,['Lol oh Donny still trying to strong arm people like you did in the 80s and 90s And now you want to fight a trade war on two fronts with China and Mexico We the American people will suffer for your arrogance20190530 23352500000'],0.188,0.678,0.134
162,['Ah a trade war with Mexico How many dimensions is this chess game now20190530 23351400001'],0.231,0.769,0.0
163,['USChina trade war tumitindi  20190530 23350300000'],0.438,0.562,0.0
164,['Only five Dow stocks have gained in May as trade war drags on  23350300000'],0.292,0.573,0.135
165,['That is sick Those tariffs will never be removed because someone is going to make tons of money off your stupid trade war Shame on you why dont you try being a patriot20190530 23350000000'],0.321,0.679,0.0
166,['USChina trade war tumitindi   via rmnnetworks20190530 23345100000'],0.394,0.606,0.0
167,['Yay more taxes Americans pay to purchase goods from the two countries that produce a vast majority of our goods tariffs tradewar merikkka20190530 23344700001'],0.07,0.93,0.0
168,['China must not know they are dealing with the worlds greatest deal maker China accuses US of economic terrorism as trade war tensions escalate  20190530 23343200000'],0.351,0.541,0.108
169,['Trade War Starts Changing Manufacturers in HardtoReverse Ways via nytimes 23324800000'],0.281,0.719,0.0
170,['Trump Is Winning His Trade War With China Hereaposs Why That Might Not Last20190530 23324100000'],0.192,0.64,0.167
171,['How soybeans became Chinas most powerful weapon in Trumps trade war  pictwittercomeKvi5BdZP420190530 23323300001'],0.328,0.514,0.159
172,['Trade war is stupid says Dr Mahathir  20190530 23322300000'],0.51,0.49,0.0
173,['Who better to do Putins bidding than realDonaldTrump HillaryClinton wouldnt have alienated our allies pulled us out of important international treaties or started a trade war Putin wanted someone to destabilize the world  he got it20190530 23321200000'],0.094,0.793,0.113
174,['Trade War Starts Changing Manufacturers in HardtoReverse Ways  20190530 23320700000'],0.302,0.698,0.0
175,['China makes next move in trade war reportedly halting US soy purchases  20190530 23315900000'],0.231,0.769,0.0
176,['Hoy 30May la volatilidad en el mercadono fue estimulada por nerviosismo de compras ms bien por depresin en cuanto a comprs por parte de los pases consumidores de petroleo  Una de 4 en los por angustias de economia Economic por el tradewar oilgaspictwittercom67XluM5yQh20190530 23312500000'],0.0,1.0,0.0
177,['Your trade war is going to derail the Obama recovery20190530 23311800000'],0.404,0.596,0.0
178,['Lets see trade war with China which will cost the American family over 800 per year Kim Jong Un still firing missles Russia still interfering with elections and none of our former allies trust the US anymore Great foreign policy there Stupid man20190530 23301200000'],0.173,0.695,0.132
179,['Maybe it would be prudent to bear in mind that the plight of the farmers and ranchers is caused by your idiot presidents trade war with China The Mueller report is vitally important for the long term future of the American democracy20190530 23295500000'],0.144,0.778,0.078
180,[' RaderFarming and reidt1987 visited with vicenews today to discuss the plant19 rain problems trade war and other issues impacting farmers Story to air on Friday May 31 at 630pm on HBO ILFarmBureau twillpictwittercom1reLeGLWld20190530 23295200000'],0.167,0.833,0.0
181,['When a Checkers player goes against a Go Master tradewar china strategy Rare earths could be the next front in the USChina trade war Heres what you should know CNN 23294600000'],0.122,0.878,0.0
182,['China accuses US of economic terrorism as trade war tensions escalate  20190530 23294400000'],0.602,0.398,0.0
183,['from corn wheat and now cotton and a trade war  tough time to be a farmer and they need support asap  20190530 23294100000'],0.207,0.69,0.103
184,['Dude you need a goal to win this trade war without a deal from China get the DOW to 28K all in the third quarter unemployment rates have to drop 12 the US dollar index must go up to 100 you want bond yields above 3 and you want gdp at about between 35 and 420190530 23293300001'],0.141,0.758,0.101
185,['Lets assume we leave with no deal Britains exports to the EU represent 13 of our GDP The rest of the EUs exports to Britain represent just 3 of its GDP Neither side would win from a trade war But we would be hit proportionately much harder1420190530 23293300000'],0.146,0.854,0.0
186,['Rare earths could be next front in USChina trade war  23290500000'],0.281,0.719,0.0
187,['What Trade War Africa Sidesteps Tariffs Starts FreeTrade Pact TRALAC 20190530 23283300000'],0.262,0.738,0.0
188,['US China Trade War Explained Who Needs Who  via YouTube20190530 23281100000'],0.281,0.719,0.0
189,['His failing trade war lies taxes and Russian involvement wont really help him He also doesnt have Hillary Clinton to go against There are other candidates besides Joe Biden that could easily beat him20190530 23280600000'],0.278,0.669,0.053
190,['Changing Globalization is possible Will it impact inequalities Trade War Starts Changing Manufacturers in HardtoReverse Ways  20190530 23275300000'],0.187,0.813,0.0
191,['CNNs Dana Bash pushed Republican Iowa Sen Joni Ernst to attack President Donald Trumps trade war with China but Ernst didnt exactly play along Sorry Dana your job as others at CNN on the cutting board from Jeff Zucker next month Iowa public just cut off CNN of you20190530 23273800000'],0.227,0.773,0.0
192,['Why are we in this position America cant make anything cheap They want to make China the Scapegoat China accuses the US of economic terrorism and says it is not afraid of a trade war  20190530 23273000000'],0.296,0.675,0.028
193,['Boeing737 boeing737max8 boeing777 boeing airfoce USMCA tradewar HuaweiFacts huaweiban Pilot pilotunion RKelly Sesame50 johnrose JohnMcCain 20190530 23270900000'],0.0,1.0,0.0
194,['Trumps trade war is forcing American manufacturers to move production out of China  and into Mexico instead of the US  20190530 23265700000'],0.157,0.843,0.0
195,['Trumps trade war is forcing American manufacturers to move production out of China  and into Mexico instead of the US  20190530 23264500000'],0.157,0.843,0.0
196,['CNBC A single oil tanker could become a factor in both the China trade war and Iran tensions   via GoogleNews20190530 23264400000'],0.28,0.72,0.0
197,['Deep insight on Chinas long term strategy and response to trade war pressure china longterm strategy pressure trump 23261300001'],0.342,0.658,0.0
198,['Is This Chinas Biggest Weapon In The Trade War  Zero Hedge  20190530 23254400000'],0.357,0.643,0.0
199,['China accuses US of economic terrorism as trade war tensions escalate CNNI  chin afeels the heat20190530 23253900000'],0.511,0.489,0.0
200,['TSX Ends Lower For 3rd Straight Session On Trade War Worries    LatestComments20190530 23253100000'],0.449,0.455,0.096
201,['Trade War Starts Changing Manufacturers in HardtoReverse Ways  20190530 23252800000'],0.302,0.698,0.0
