<<<<<<< HEAD
,0,neg,neu,pos,net
41,['Official Samsungs Galaxy Fold is ReLaunching in September galaxyfold '],0,1,0,0
42,['Samsungs Galaxy Watch Active Gets a Big Ol Update'],0,0.722,0.278,-0.278
43,[' nothing is confirmed samsung hasnt yet announced if the phone will indeed feature a battery '],0,1,0,0
44,[' the 12GB packages combining eight of the 12Gb chips arent yet in mass production Samsung says later t '],0,1,0,0
45,['Samsung Readying 12Gb LPDDR5 Mobile DRAM for Galaxy Note 10'],0,1,0,0
46,['Pujie Black Available for Samsung Galaxy Wearables'],0,1,0,0
47,['Samsungs Galaxy Fold was pushed out too early guys galaxyfold '],0,1,0,0
48,['Samsung is offering really solid tradein values for older phones like 350 for the Galaxy S8'],0,0.639,0.361,-0.361
49,['This Might Shock You but the Samsung Galaxy Fold was Rushed galaxyfold '],0.13,0.87,0,0.13
50,['DEAL Samsung Goes Wild With Trades Toward Galaxy S10 350Off for a Galaxy S8 galaxys10 '],0,1,0,0
51,['Verizon TMobile Samsung and LG Devices Getting Security Patches'],0,0.769,0.231,-0.231
52,['Samsung irons out most Galaxy Fold issues is ready to release it to market '],0,0.848,0.152,-0.152
53,['Samsung Most Galaxy Fold Display Issues Ironed Out Ready for Launch'],0,0.8,0.2,-0.2
54,['DEAL Samsung Galaxy Buds are 9999 at Verizon 30 Off'],0,1,0,0
55,['Samsung Galaxy Fit Activity Tracker Now Available for 99'],0,0.762,0.238,-0.238
56,['Samsung celebrates 10th anniversary of Galaxy with deals and promos '],0,0.73,0.27,-0.27
57,['Samsung Galaxy Home Launch Still Happening Scheduled for Q3'],0,1,0,0
58,['Today is Galaxy Day MonthLong Celebration With Deals and Promos From Samsung'],0,1,0,0
59,['Samsung has plans for 100W USBC chargers '],0,1,0,0
60,['Samsung has Plans for 100W USBC Chargers'],0,1,0,0
61,['Samsung Loves Its Hole Punches Shares Free DisneyPixar Wallpapers for Galaxy S10 galaxys10 '],0,0.545,0.455,-0.455
62,['DEAL Samsungs Fast Wireless Charger is 50 Off Down to 1499'],0,1,0,0
63,['With Still No Word From Samsung Best Buy Cancels All Galaxy Fold PreOrders'],0.224,0.546,0.23,-0.006
64,['We Hope Samsungs New 5x Optical Zoom Lens Ships With the Galaxy Note 10'],0,0.818,0.182,-0.182
65,['One UI update rolling out to Samsungs wearable lineup starting this week '],0,1,0,0
66,['Samsung Announces One UI for Wearable Lineup Highlights Better Battery and Cleaner UI'],0,0.705,0.295,-0.295
67,['Upcoming Phone Designs From OPPO Samsung and Huawei Might Get Weird'],0,1,0,0
68,['Samsung ups its tradein offer to 400 off a Galaxy S10 '],0,1,0,0
69,['Samsung Galaxy Fold supposedly ready to make a comeback '],0,0.762,0.238,-0.238
70,['DEAL Samsung Ups Tradein Offer to 400 Off Galaxy S10 galaxys10 '],0,1,0,0
71,['Samsungs Galaxy Fold is Ready to Return galaxyfold '],0,0.762,0.238,-0.238
72,['Samsung is Still Trying to Fix the Galaxy Fold Asks if People Want to Keep PreOrders galaxyfold '],0,0.929,0.071,-0.071
73,['DEAL Samsung Gear S3 Frontier Drops to 109 With 90 Discount'],0,1,0,0
74,['Samsung Pay support comes to Simple Bank '],0.139,0.594,0.267,-0.128
75,['Simple Bank Finally Finally Adds Support for Samsung Pay'],0,0.748,0.252,-0.252
76,['DEAL Samsung Will Still Give You 200 Off the Galaxy S10 for Trading in Any Smartphone galaxys10 '],0,1,0,0
77,['Samsungs Galaxy View 2 looks pretty good when compared to the original '],0,0.517,0.483,-0.483
78,['Samsung officially delays launch of the Galaxy Fold '],0,1,0,0
79,['Samsung Galaxy View 2 Looks Way Better Than the Original'],0,0.734,0.266,-0.266
80,['Samsung confirms Galaxy Fold delay as it investigates and runs internal tests '],0.161,0.839,0,0.161
81,['Samsung Might Have Delayed the Galaxy Fold galaxyfold '],0.192,0.808,0,0.192
82,['DEAL Samsung Offering Instant 300 Off Galaxy S10 With Trade galaxys10 '],0,1,0,0
83,['Samsung Spins Bright Night Camera Feature Into Standalone Mode'],0,0.734,0.266,-0.266
84,['Samsung Quickly Sold Out of the 2000 Galaxy Fold galaxyfold '],0,1,0,0
85,['Samsungs Galaxy Fold has support for all major US carrier bands '],0,0.803,0.197,-0.197
86,['Samsungs Galaxy Fold has Support for All Major US Carriers Bands galaxyfold '],0,0.816,0.184,-0.184
87,['How has your experience been with Samsungs tradein program '],0,1,0,0
88,['Hows Your Experience Been With Samsungs TradeIn Program galaxys10 '],0,1,0,0
89,['Invitations to purchase Samsungs 1980 Galaxy Fold apparently roll out tomorrow '],0,1,0,0
90,['Samsung Says You Should SignUp Today to be First in Line to Purchase Galaxy Fold galaxyfold '],0,1,0,0
91,['Samsung Galaxy A80 Trades Notches and Cutouts for PopUp Flippy Camera'],0,1,0,0
92,['DEAL Need More Storage Get a Samsung 128GB MicroSD for 20'],0,1,0,0
93,['DEAL Samsung Will Give You 200 TradeIn Value Towards Galaxy S10 for Any Android Device Even If Its Cracked'],0,0.882,0.118,-0.118
94,['Samsung shows the Galaxy Fold can fold a lot of times '],0,1,0,0
95,['Samsungs 550 Off TradeIn Galaxy S10 Deal is Still Live Plus BOGO ATampT and Verizon galaxys10 '],0,1,0,0
96,['DEAL Samsung Wireless Charging Pad is 15 10000mAh Fast Battery Pack is 16 galaxys10 '],0,1,0,0
97,['Poll Do Your Own a Google Samsung or OnePlus Phone'],0,1,0,0
98,['Heres the 2000 ATampT Samsung Galaxy Fold Being Fondled galaxyfold '],0,1,0,0
99,['Samsung still offering up to 550 in tradein credit towards the purchase of a Galaxy S10 '],0,0.852,0.148,-0.148
100,['You Still Have Time to Take Advantage of Samsungs 550 Tradein Offer for the Galaxy S10'],0,0.882,0.118,-0.118
101,['Samsung Galaxy S10e Review Yo This is the Phone galaxys10e '],0,1,0,0
102,['Samsung Galaxy S10 Review Mostly Excellence Slight Disappointment'],0,0.631,0.369,-0.369
103,['DEAL Samsungs Excellent Galaxy Buds 25 Off at ATampT'],0,0.684,0.316,-0.316
104,['Time probably running out to take advantage of Samsungs really good tradein offer '],0,0.698,0.302,-0.302
105,['Samsungs Good Lock app gets updated to work with Android Pie '],0,0.791,0.209,-0.209
106,['Samsungs Good Lock App Updated to Work With Android Pie'],0,0.756,0.244,-0.244
107,['Report Your Samsung Galaxy Depreciates at Alarming Rate 42 in Month One'],0.12,0.88,0,0.12
108,['Samsung is Folding Sht in All the Directions'],0,1,0,0
109,[' samsung tho lol']--------------------,0,1,0,0
110,['Samsung Now Lets You Remap Bixby Button Just Not to Google Assistant'],0,1,0,0
111,['Buying the Galaxy Fold will be unlike most Samsung products '],0,1,0,0
112,['Everyone see Samsungs new Galaxy Fold video It shows a lot of the device in action'],0,1,0,0
113,['Samsung Releases the Galaxy Fold HandsOn Video You Wanted galaxyfold '],0,1,0,0
114,['Samsung Announces Galaxy S10 Family Starting at 900 galaxys10 '],0,1,0,0
115,['Samsung Announces New Galaxy Watch Active Galaxy Fit and Galaxy Buds'],0,0.634,0.366,-0.366
116,['Official Specs Samsung Galaxy S10 S10 S10 5G and S10e galaxys10 '],0,1,0,0
117,['Here is the Samsung Galaxy Fold galaxyfold '],0,1,0,0
118,['Watch Samsungs Galaxy S10 Galaxy Fold Event Live at 11AM Pacific'],0,1,0,0
119,['Samsung Galaxy Fold Samsung Galaxy Fold'],0,1,0,0
120,['And Heres a Samsung Galaxy S10 Promo Video Leak '],0.231,0.769,0,0.231
121,['Samsungs Internet browser gets a big One UI update'],0,1,0,0
122,['Samsung Internet Gets One UI Makeover Complete With Dark Mode Support'],0,1,0,0
123,['DEAL 300 Off Unlocked Samsung Galaxy Note 9 Today With Code galaxynote9 '],0,1,0,0
124,['Samsung Outs Its Entire New Galaxy Wearable Line Early'],0,1,0,0
125,['You can already reserve your Galaxy S10 from Samsung '],0,1,0,0
126,['Samsungs Galaxy S10 Arrives March 8 Get Up to 550 Off With Trade if You Reserve Now'],0,1,0,0
127,['Samsung keeps teasing the fold ']-----,0.206,0.794,0,0.206
128,['What Exactly is Samsung Trying to Tease Here'],0.247,0.753,0,0.247
129,['A Fresh Clean HighRes Look at Samsungs Galaxy S10 and Galaxy S10e'],0,0.667,0.333,-0.333
130,['Verizon Valentines Deals Arent Awful 300 Off Pixel 3 BOGO Samsung deals '],0,0.816,0.184,-0.184
131,['Samsung and fake Supreme are no longer working together'],0.356,0.403,0.242,0.114
132,['Samsung Galaxy S10 Galaxy S10 Stop by the FCC galaxys10 '],0.18,0.82,0,0.18
133,['DEAL Samsung Galaxy Note 9 S9 and S9 are 150 Off deals '],0,1,0,0
134,['Samsung brings out the cool concepts shows off foldable phone too'],0,0.813,0.187,-0.187
135,['Samsung pulled that concept video but we grabbed some extra screenshots from it'],0,1,0,0
136,['Samsung Teases Foldable Phone in Futuristic Concept Video'],0.239,0.761,0,0.239
137,['Samsung Galaxy Buds reported to launch with the Galaxy S10 '],0,1,0,0
138,['Samsung Just Made a 1TB UFS 21 Chip for Smartphones Probably the Galaxy S10 galaxys10  '],0,1,0,0
139,['Samsungs doing a bit better of a job at updating '],0,0.734,0.266,-0.266
140,['Hey Samsung Better Job With Pie Updates so Far'],0,0.734,0.266,-0.266
141,['Samsung Galaxy S9 Gets Android Pie One UI Update on First US Carrier galaxys9 '],0,1,0,0
142,['No bueno Samsung']--------------------,0,1,0,0
143,['This is Bad Samsung']-----------------,0.538,0.462,0,0.538
144,['Jesus Finally Target Will Soon Accept Google Pay Samsung Pay'],0.117,0.667,0.217,-0.1
145,['Heres Everything We Know About Samsungs GalaxyS10 so Far'],0,1,0,0
146,['Samsungs 5G Galaxy S10 Might Add an X to Its Name Go Nuts With Specs galaxys10 '],0.133,0.867,0,0.133
147,['DEAL Samsung Galaxy Note 9 S9 S9 All 200 Off With Up to 300 Off in Trades deals '],0,1,0,0
148,['There has been a ton of different Galaxy phones from Samsung over the years Which one stands out the most to you'],0,1,0,0
149,['Well also see a fully functional foldable from Samsung on February 20 '],0,1,0,0
150,['10 Years of Samsung Galaxy S Phones Which Stands Out the Most galaxys10 '],0,1,0,0
151,['Fully Functional Foldable From Samsung Coming on February 20 Too'],0,1,0,0
152,['Samsung is Announcing the Galaxy S10 on February 20 galaxys10 '],0,1,0,0
153,['Sprints Samsung 5G Phone is Coming This Summer sprint ces2019 '],0,1,0,0
154,['Samsung its time to move on from the curved display'],0,1,0,0
155,['I Just Need Samsung to Ditch the Curved Display Now galaxys10 '],0,1,0,0
156,['Samsung has another Pie roadmap with Galaxy Note 9 and Note 8 bumped up a month '],0,1,0,0
157,['Samsung Provides Different Pie Update Roadmap Galaxy Note 9 and Note 8 Bumped Up a Month'],0,1,0,0
158,['Samsungs Pie Update Roadmap Wont Make You Envious of Galaxy Owners'],0,0.846,0.154,-0.154
159,['Samsung is Coming for Googles Night Sight Camera Magic'],0,1,0,0
160,['Report Google Assistant Launching on 2019 Samsung Smart TV Lineup'],0,0.769,0.231,-0.231
161,['DEAL Samsung 10000mAh Fast Charge Battery Pack is 1599 19 Off deals '],0,1,0,0
162,['Verizon Updates Samsung Galaxy S7 S7 Edge LG V30'],0,1,0,0
163,['Samsung is now reevaluating its partnership with fake Supreme'],0.279,0.721,0,0.279
164,['DEAL Samsung Drops 300 Off Carrier Galaxy Note 9 250 Off Galaxy S9 galaxynote9 '],0,1,0,0
165,['Did Samsung just partner with a knockoff Supreme label to sell stuff in China Yes '],0,0.674,0.326,-0.326
166,['Samsung Embarrassingly Partners With Fake Supreme '],0.433,0.299,0.269,0.164
167,['Samsung Galaxy A8s With Infinity O Display Official for China'],0,1,0,0
168,['ATampT Announces Another Samsung 5G Device With Better Connectivity 5g '],0,0.775,0.225,-0.225
169,['ATampT says it will carry Samsungs 5G smartphone in early 2019 '],0,1,0,0
170,['ATampT Will Also Carry Samsungs 5G Phone Next Year'],0,1,0,0
171,['Verizon and Samsung launching 5G phone in first half of 2019 '],0,1,0,0
172,['DEAL Samsung Wireless Charger Duo for Just 50 on Amazon 70 Off'],0,0.866,0.134,-0.134
173,['Verizon and Samsung Launching 5G Phone in First Half of 2019 Proof of Concept Coming This Week'],0,1,0,0
174,['DEAL Verizon Galaxy Note 9 300 Off Today Only From Samsung GalaxyNote9 '],0,1,0,0
175,['Samsungs 12 Days of Deals is Here Save on TVs Phones and Get Free Stuff '],0,0.683,0.317,-0.317
176,['TMobile is giving away Samsung 50 4K TVs in new deal'],0,0.806,0.194,-0.194
177,['Samsung One UI Gets Updated Loads of Bug Fixes Inside'],0,1,0,0
178,['Buy a Samsung Galaxy on TMobile Get Free 50 4K Smart TV'],0,0.6,0.4,-0.4
179,['Huawei Beats Samsung to Full Display With Camera Cutout Hole '],0,1,0,0
180,['Looks like Project Fi will soon support Samsung OnePlus and iPhone devices '],0,0.679,0.321,-0.321
181,['Verizon Samsung Galaxy Devices LG V40 ThinQ Receive Security Patch Updates'],0,0.806,0.194,-0.194
182,['Samsung Cyber Monday Deals are Live CyberMondayDeals '],0,1,0,0
183,['Black Friday 2018 Best Google and Samsung Phone Deals BlackFriday2018 '],0,0.704,0.296,-0.296
184,['Dont sleep on Samsungs BlackFridayDeals'],0,1,0,0
185,['Samsung microSD cards are so cheap right now'],0,1,0,0
186,['Amazon matches Samsungs big BlackFridayWeek 200 off sale on Note 9 S9 and S9'],0,1,0,0
187,['Samsung EVO Select MicroSD Cards are Stupid Cheap Right Now 128GB for 1999 BlackFridayWeek '],0.195,0.805,0,0.195
188,['DEAL Amazon Matches Samsungs 200 Off Galaxy S9 S9 and Note 9 Deal BlackFriday2018 '],0,0.884,0.116,-0.116
189,['Samsungs BlackFriday2018 deals are here with up to 300 off Note 9 S9'],0,1,0,0
190,['Samsung Black Friday Deals Now Live Up to 300 Off Galaxy Note 9 S9 and S9 BlackFriday2018 '],0,1,0,0
191,['Video Tour of Samsungs new One UI on a Galaxy S9 galaxys9 '],0,1,0,0
192,['Samsungs One UI Beta with Android Pie goes live for Galaxy S9 S9'],0,1,0,0
193,['Samsung is going to annoy you over use of free themes'],0.191,0.592,0.217,-0.026
194,['Video First Look at Samsung One UI Beta on Galaxy S9 galaxys9 '],0,1,0,0
195,['Samsung One UI and Pie Beta Program Now Live in the US for S9 galaxys9 '],0,1,0,0
196,['Samsung Doesnt Want You Using Free Themes Anymore'],0.116,0.57,0.314,-0.198
197,['Samsung might skip the notch on Galaxy S10 and go with InfinityO'],0,1,0,0
198,['DEAL Verizon Galaxy S9 Note 9 are 100 Off From Samsung With 300 Bonus Bundle galaxynote9 '],0,0.811,0.189,-0.189
199,['Here are some display specs for Samsungs foldable Infinity Flex display'],0,1,0,0
200,['Heres a pretty Samsung One UI wallpaper for you'],0,0.686,0.314,-0.314
201,['A photo tour of Samsungs new One UI']-,0,1,0,0
202,['Samsung has notched displays in the works You OK Samsung fans'],0,0.773,0.227,-0.227
203,['Samsungs new One UI looks pretty is ready for Galaxy S9 and Note 9 beta testers'],0,0.695,0.305,-0.305
204,['And here is Samsungs first foldable display phone'],0,1,0,0
205,['Samsung Revealed Infinity Flex Display Specs for Its Foldable Phone'],0,1,0,0
206,['You Know You Want That Wallpaper From Samsungs One UI'],0,0.874,0.126,-0.126
207,['Heres a Photo Tour of Samsungs One UI'],0,1,0,0
208,['Samsung Who Laughed at Googles Notch is Ready to Introduce Notches Maybe'],0,0.645,0.355,-0.355
209,['Samsung One UI is the Software UX Refresh Weve Been Waiting For'],0,1,0,0
210,['Here is Samsungs Foldable Display Device'],0,1,0,0
211,['Samsung Experience aka TouchWiz refresh Yes please '],0,0.545,0.455,-0.455
212,['Samsungs Galaxy Home Bixby Speaker Arrives at FCC in Time for Launch Details'],0,1,0,0
213,['Watch Samsungs Developer Conference Where We May See a Foldable Phone'],0,1,0,0
214,['Were learning more about Samsungs foldable ahead of a potential unveiling this week at SDC '],0,1,0,0
215,['Samsung May Launch Android Pie Beta Program During SDC This Week'],0,1,0,0
216,['Latest Samsung Foldable Device Report Aligns With Concept Image From 2017'],0,1,0,0
217,['Samsung still seems confused on what foldable device will be '],0.187,0.813,0,0.187
218,['Samsung Still Seems Confused on Its Foldable Phone But Itll Run Special Android galaxys10 '],0.091,0.714,0.195,-0.104
219,['US Galaxy S10 Lineup Getting Note 10s Live Focus Video AR Doodle in New Update'],0,1,0,0
220,['One UI 20 Beta Opened to Galaxy Note 10 Lineup'],0,1,0,0
221,['Theres Something Off About These Galaxy Fold Reviews on Best Buy'],0,0.704,0.296,-0.296
222,['Our thoughts after a week with the Galaxy Fold '],0,1,0,0
223,['Galaxy Fold Thoughts After a Week of Folding My Phone'],0,1,0,0
224,['VIDEO Our Favorite Galaxy Fold Features galaxyfold '],0,0.7,0.3,-0.3
225,['Drop Test Confirms Dont Drop the Galaxy Fold'],0,0.794,0.206,-0.206
226,['Verizon Galaxy S9 S9 Getting September Security Patch'],0,0.745,0.255,-0.255
227,['My Galaxy Fold Display is Not Damaged After a Day galaxyfold '],0,0.806,0.194,-0.194
228,['Verizon Galaxy S8 S8 Note 8 and S10 5G Receive September Security Patch'],0,0.821,0.179,-0.179
229,['Podcast We Have the Galaxy Fold Show kicks off at 1230PM Pacific'],0,1,0,0
230,['RT  2 Galaxy Folds gt 4 iPhone 11 Pros lol '],0,0.588,0.412,-0.412
231,['Galaxy S10 Family Picking Up Suite of Note 10 Features in New Update'],0,1,0,0
232,['Galaxy Fold Arrives This Week in the US galaxyfold '],0,1,0,0
233,['We Crushed 8GB Data on Verizon 5G in 1 Minute With a Galaxy Note 10 5G 5G '],0.157,0.843,0,0.157
234,['Verizon Galaxy S10 Note 10 Lineups Updated With September Security Patch'],0,0.806,0.194,-0.194
235,['Android 10 beta for Galaxy S10 Galaxy Note 10 reported to launch next month '],0,1,0,0
236,['Pixel 4 XL Gets a Galaxy Note 10 Comparison Already pixel4'],0,1,0,0
237,['5 Reasons the Galaxy Note 10 is Worth Buying'],0,0.808,0.192,-0.192
238,['Second Galaxy arrives for Android ']--,0,1,0,0
239,['Second Galaxy Available for Android Reminds Me a Lot of EVE Online'],0,1,0,0
240,['Android 10 Update for TMobile Galaxy Note 10 Galaxy S10 Already in Testing'],0,1,0,0
241,['RT  PSA Public Software Announcement  GalaxyS10 devices getting SW update including bug fixes security updates amp Nigh'],0,0.87,0.13,-0.13
242,['Verizon Galaxy S10 Family Grabs a Fresh Update'],0,0.723,0.277,-0.277
243,['Hole punch wallpapers for your Note 10 are here galaxynote10 '],0,1,0,0
244,['Our Galaxy Note 10 review galaxynote10 '],0,1,0,0
245,['Cool Wallpapers to Go With Your GalaxyNote10 Camera Cutout'],0,1,0,0
246,['PSA Your GalaxyNote10 Doesnt Have a Dead Pixel Thats the Proximity Sensor'],0,0.744,0.256,-0.256
247,['We got a couple Galaxy Note 10 phones We did a podcast about it '],0,1,0,0
248,['A Lot of Galaxy Phones on Verizon are Getting Updated With August Security Patch'],0,0.844,0.156,-0.156
249,['VIDEO First 10 things to do with the Galaxy Note 10'],0,1,0,0
250,['Galaxy Note 10 First 10 Things to Dogalaxynote10'],0,1,0,0
251,['Last Chance to Get the Galaxy Note 10 150 PreOrder Credit galaxynote10 '],0,0.705,0.295,-0.295
252,['VIDEO Galaxy Note 10 Unboxing']-------,0,1,0,0
253,['Verizon Galaxy Note 10 lineup getting updated '],0,1,0,0
254,['Verizon Galaxy Note 10 Lineup Already Getting First Update'],0,1,0,0
255,['Galaxy Note 10 Orders Now Shipping With Wednesday Arrival galaxynote10 '],0,1,0,0
256,[' Galaxy Fold running KitKat Very nice P'],0,0.694,0.306,-0.306
257,['Both DxOMark and DisplayMate are loving the Galaxy Note 10 '],0,0.719,0.281,-0.281
258,['Both DxOMark and DisplayMate Love the Galaxy Note 10'],0,0.656,0.344,-0.344
259,['Handson with the Galaxy Note 10 and Note 10 '],0,1,0,0
260,['Video Galaxy Note 10 Note 10 First Look'],0,1,0,0
261,['These are the best deals for the Galaxy Note 10 so far '],0,0.741,0.259,-0.259
262,['600 off a Galaxy Note 10 aint bad at all '],0,0.759,0.241,-0.241
263,['All your Galaxy Note 10 specs are right here '],0,1,0,0
264,['Galaxy Note 10 is all official now Preorders start at midnight tonight priced starting at 949 '],0,1,0,0
265,['Poll Buying a Galaxy Note 10 galaxynote10 '],0,1,0,0
266,['Best Galaxy Note 10 Note 10 and Note 10 5G PreOrder Deals galaxynote10 '],0,1,0,0
267,['Reserve Your Galaxy Note 10 Now and Save Up to 600 With Eligible TradeIn'],0,0.802,0.198,-0.198
268,['You can watch the Note 10 event right here if you want GalaxyUnpacked '],0,0.909,0.091,-0.091
269,['Heres a Galaxy Note 10 Note 10 Official Feature Leak galaxynote10 '],0.194,0.806,0,0.194
270,['Verizon Galaxy S9 S9 and Note 9 Getting Dark Mode Camera Update'],0,1,0,0
271,['Galaxy Note 10 in some pretty colors '],0,0.686,0.314,-0.314
272,['This is probably the biggest Galaxy Note 10 leak of all '],0.179,0.821,0,0.179
273,['Heres the Galaxy Note 10 in Most of Its Pretty Colors'],0,0.743,0.257,-0.257
274,['Verizons Galaxy S10 Family Grabs Pair of Updates'],0,1,0,0
275,['The Big Galaxy Note 10 Leak is Here']-,0.255,0.745,0,0.255
276,['Verizons Galaxy Note 10 5G has been tested '],0,1,0,0
277,['Verizons Galaxy Note 10 5G has Been Tested GalaxyNote10 '],0,1,0,0
278,['Hi Galaxy Watch Active 2 ']-----------,0,0.597,0.403,-0.403
279,['Dont miss this weeks show We covered the TMoSprint merger Galaxy Note 10 and Pixel 4 '],0.096,0.904,0,0.096
280,['Heres the Galaxy Watch Active 2 Thanks to the FCC galaxywatchactive2 '],0,0.616,0.384,-0.384
281,['DEAL All Unlocked Galaxy S10 Phones are 400500 Off at Best Buy Today galaxys10 '],0,0.769,0.231,-0.231
282,['Galaxy Note 10 Launch Day is August 23 Reservations Now Open With 600 Off for TradeIns galaxynote10 '],0,1,0,0
283,['TMobile is done with the Galaxy Fold'],0,1,0,0
284,['Galaxy Fold is almost ready for its comeback in September'],0,0.803,0.197,-0.197
285,['TMobile Wont Sell the Galaxy Fold']---,0,1,0,0
286,['Galaxy Note 10 5G for Verizon Disclosed Appears to be Limited Time Exclusive'],0.137,0.863,0,0.137
287,['Verizon Galaxy S7 S7 Edge S8 S8 and Note 8 Get Updated Security Patches'],0,0.833,0.167,-0.167
288,['Galaxy Note 10 Note 10 Specs Reported to Include a Processor Display and Possibly Internal Storage'],0,1,0,0
289,['Visible Adds WiFi Calling Capability for Galaxy S9 S9'],0,1,0,0
290,['Here are the US Galaxy Note 10 Network Bands galaxynote10 '],0,1,0,0
291,['Galaxy Fold aced its latest tests and is ready for launch according to report '],0,0.848,0.152,-0.152
292,['Report Galaxy Fold Ready for Launch Following Latest Durability Tests'],0,0.783,0.217,-0.217
293,['Expect One UI 20 With Android Q Version 21 With Galaxy S11'],0,1,0,0
294,['Galaxy S10 S10 now start at 300 off for Prime Day'],0,1,0,0
295,['DEAL Unlocked Galaxy S10 Line is 200500 Off Right Now galaxys10 '],0,1,0,0
296,['Galaxy Note 10 Stops at the FCC Dancing the No Headphone Jack Dance galaxynote10 '],0.226,0.774,0,0.226
297,['Heres the Galaxy Note 10 ']-----------,0,1,0,0
298,['This is the Galaxy Note 10']----------,0,1,0,0
299,['Verizon Galaxy S10 S10 and S10e Grab New Updates With Performance Improvements galaxys10 '],0,0.85,0.15,-0.15
300,['We know when the Galaxy Note 10 will be announced'],0,1,0,0
301,['Invites Rolling Out Galaxy Note 10 Arrives August 7'],0,1,0,0
302,['Friday Phone Deals Pixel 2 XL for 10mo BOGO Galaxy S10'],0,1,0,0
303,['Shaky Camera Returns Heres the Galaxy Note 10'],0,1,0,0
304,['Giveaway Win 1 of 5 mophie Juice Pack Cases for Your Galaxy S10'],0,0.725,0.275,-0.275
